session,phase,category,frame,mean_dFF,H,W,n_frames
230715,Expert,DistractorLicks,0,-0.000391415446216284,142,170,14
230715,Expert,DistractorLicks,1,-2.4976869788684588e-05,142,170,14
230715,Expert,DistractorLicks,2,0.0001068954444038874,142,170,14
230715,Expert,DistractorLicks,3,-0.00014172253569565623,142,170,14
230715,Expert,DistractorLicks,4,-0.00019502871561919604,142,170,14
230715,Expert,DistractorLicks,5,8.960625618542594e-05,142,170,14
230715,Expert,DistractorLicks,6,0.0007638107625742611,142,170,14
230715,Expert,DistractorLicks,7,0.001112827796333364,142,170,14
230715,Expert,DistractorLicks,8,0.0014494901634635924,142,170,14
230715,Expert,DistractorLicks,9,0.003662845292761003,142,170,14
230715,Expert,DistractorLicks,10,0.012841634242544982,142,170,14
230715,Expert,DistractorLicks,11,0.01568089012920033,142,170,14
230715,Expert,DistractorLicks,12,0.01579177404909516,142,170,14
230715,Expert,DistractorLicks,13,0.009385352230986145,142,170,14
230715,Expert,Spont,0,0.003419038552771907,142,170,14
230715,Expert,Spont,1,0.004236596385442252,142,170,14
230715,Expert,Spont,2,0.004121458136167209,142,170,14
230715,Expert,Spont,3,0.0046106725682705865,142,170,14
230715,Expert,Spont,4,0.0014853857864724786,142,170,14
230715,Expert,Spont,5,-0.0006902904610372798,142,170,14
230715,Expert,Spont,6,-0.0018000482289084884,142,170,14
230715,Expert,Spont,7,-0.0030947383151649745,142,170,14
230715,Expert,Spont,8,-0.003237633702887394,142,170,14
230715,Expert,Spont,9,-0.0011221404741792724,142,170,14
230715,Expert,Spont,10,0.006270521593887586,142,170,14
230715,Expert,Spont,11,0.009658376591360603,142,170,14
230715,Expert,Spont,12,0.008264174891355313,142,170,14
230715,Expert,Spont,13,0.005337449591453447,142,170,14
230715,Expert,Misses,0,0.002287153229059661,142,170,22
230715,Expert,Misses,1,0.0057010071625376016,142,170,22
230715,Expert,Misses,2,0.004027286094883437,142,170,22
230715,Expert,Misses,3,0.0018286933296379829,142,170,22
230715,Expert,Misses,4,0.00012255370847858322,142,170,22
230715,Expert,Misses,5,-0.0002935890861673184,142,170,22
230715,Expert,Misses,6,-0.0004496309025367229,142,170,22
230715,Expert,Misses,7,-0.0015404353477506709,142,170,22
230715,Expert,Misses,8,-0.0022467862674138864,142,170,22
230715,Expert,Misses,9,-0.0034002304756135205,142,170,22
230715,Expert,Misses,10,-0.0037488682160555166,142,170,22
230715,Expert,Misses,11,-0.0034240867386759063,142,170,22
230715,Expert,Misses,12,-0.004230747875490817,142,170,22
230715,Expert,Misses,13,-0.004184908810952628,142,170,22
230715,Expert,Misses,14,-0.004048620025433274,142,170,22
230715,Expert,Misses,15,-0.003368703929686845,142,170,22
230715,Expert,Misses,16,-0.00278056009408542,142,170,22
230715,Expert,Misses,17,-0.002395544195069488,142,170,22
230715,Expert,Misses,18,-0.00234481135488064,142,170,22
230715,Expert,Misses,19,-0.0023714376280489467,142,170,22
230715,Expert,Misses,20,-0.0024602586853734293,142,170,22
230715,Expert,Misses,21,-0.0026265407554627355,142,170,22
230715,Expert,CR,0,0.005819652321142731,142,170,22
230715,Expert,CR,1,-0.00036584547622812985,142,170,22
230715,Expert,CR,2,7.539045130721193e-05,142,170,22
230715,Expert,CR,3,0.0002864715804169947,142,170,22
230715,Expert,CR,4,0.00015316454822776745,142,170,22
230715,Expert,CR,5,0.00019538899304700558,142,170,22
230715,Expert,CR,6,-0.0001106792305564562,142,170,22
230715,Expert,CR,7,-0.0001477826985417932,142,170,22
230715,Expert,CR,8,0.00033776044148831107,142,170,22
